method,path,category,rationale,source_file
POST,/evenements/{event_id}/incidents/{incident_id}/action-plan,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
PATCH,/evenements/{event_id}/incidents/{incident_id}/actions/{action_id}/close,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/mark-returned,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
POST,/evenements/{event_id}/start,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/evenements.py
GET,/features,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
POST,/features,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
GET,/features/check/{flag_name},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
DELETE,/features/{flag_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
GET,/features/{flag_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
PATCH,/features/{flag_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/features.py
GET,/formulas,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
POST,/formulas,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
POST,/formulas/apply,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
DELETE,/formulas/{formula_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
GET,/formulas/{formula_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
PATCH,/formulas/{formula_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/formulas.py
GET,/health,platform/system,Infra/security endpoint not tied to product workflow,app/api/v1/endpoints/health.py
GET,/health/live,platform/system,Infra/security endpoint not tied to product workflow,app/api/v1/endpoints/health.py
GET,/health/ready,platform/system,Infra/security endpoint not tied to product workflow,app/api/v1/endpoints/health.py
GET,/health/status,platform/system,Infra/security endpoint not tied to product workflow,app/api/v1/endpoints/health.py
GET,/inventory-movements,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
POST,/inventory-movements,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/agenda,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/late,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/pending-inspections,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/statistics,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/today,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
DELETE,/inventory-movements/{movement_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/inventory-movements/{movement_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
PATCH,/inventory-movements/{movement_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
PATCH,/inventory-movements/{movement_id}/complete,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
POST,/inventory-movements/{movement_id}/items,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
DELETE,/inventory-movements/{movement_id}/items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
PATCH,/inventory-movements/{movement_id}/items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/inventory_movements.py
GET,/invoices,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/damage,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/overdue,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/payments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/sequence/gaps,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/tva-report,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
PATCH,/invoices/{invoice_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/add-charge,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/add-payment,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id}/audit,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/credit-note,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id}/credit-notes,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/credit-notes/{cn_id}/apply,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/credit-notes/{cn_id}/refund,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id}/full,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/mark-sent,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id}/payments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/payments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
GET,/invoices/{invoice_id}/pdf,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
POST,/invoices/{invoice_id}/remind,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/invoices.py
DELETE,/mfa,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
POST,/mfa/backup-codes/regenerate,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
POST,/mfa/setup,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
GET,/mfa/status,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
POST,/mfa/stepup/verify,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
POST,/mfa/verify,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
POST,/mfa/verify-setup,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/mfa.py
GET,/notifications,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/notifications.py
POST,/notifications/read-all,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/notifications.py
POST,/notifications/{notification_id}/read,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/notifications.py
GET,/oauth/providers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/oauth.py
GET,/oauth/{provider}/authorize,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/oauth.py
POST,/oauth/{provider}/callback,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/oauth.py
POST,/operations/damage/photo,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
GET,/operations/departure/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
POST,/operations/departure/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
POST,/operations/departure/{reservation_id}/block,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
GET,/operations/qr/{code},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
GET,/operations/return/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
POST,/operations/return/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
POST,/operations/return/{reservation_id}/damage,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/operations.py
GET,/orders,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/orders.py
GET,/orders/{order_type}/{order_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/orders.py
POST,/planning/assign,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/planning/day,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/planning/month,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/planning/resources,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/planning/today,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/planning/week,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/planning.py
GET,/pricing/rules,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
POST,/pricing/rules,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
GET,/pricing/rules/product/{product_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
DELETE,/pricing/rules/{rule_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
GET,/pricing/rules/{rule_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
PATCH,/pricing/rules/{rule_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
POST,/pricing/simulate,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/pricing.py
GET,/products,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
POST,/products,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
POST,/products/import,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/low-stock,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
DELETE,/products/{product_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
PATCH,/products/{product_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/audit,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/availability,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
POST,/products/{product_id}/image,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/images,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
POST,/products/{product_id}/images,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
DELETE,/products/{product_id}/images/{image_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
PATCH,/products/{product_id}/images/{image_id}/set-primary,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/maintenances,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
POST,/products/{product_id}/maintenances,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
DELETE,/products/{product_id}/maintenances/{maintenance_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
PATCH,/products/{product_id}/maintenances/{maintenance_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/stock,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
PATCH,/products/{product_id}/stock-items/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
